title,artist,link
Portrait of a Man (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20919?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99911?highlight=*:*
Untitled (2007),Vikki Hill,https://collections.ed.ac.uk/art/record/99966?highlight=*:*
Untitled (Unknown),Donald Clark,https://collections.ed.ac.uk/art/record/21636?highlight=*:*
Trafalgar Square (1963),Unknown,https://collections.ed.ac.uk/art/record/21773?highlight=*:*
Seated Nude Woman (1951),James P W Syme,https://collections.ed.ac.uk/art/record/22513?highlight=*:*
Shell-Shapes (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21973?highlight=*:*
Unknown (1969),Brent D. Millar,https://collections.ed.ac.uk/art/record/50378?highlight=*:*
Coupar,Unknown,https://collections.ed.ac.uk/art/record/50409?highlight=*:*
Lucius Junius Brutus,NA,https://collections.ed.ac.uk/art/record/20561?highlight=*:*
Reclining Female Nude (1952),John Houston,https://collections.ed.ac.uk/art/record/21352?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,https://collections.ed.ac.uk/art/record/22563?highlight=*:*
Serving Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53619?highlight=*:*
Ecorche of Houdon,Unknown,https://collections.ed.ac.uk/art/record/20602?highlight=*:*
Portrait of a Man in a Suit (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/20776?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21569?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50424?highlight=*:*
Student in the Studio,Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21401?highlight=*:*
Portrait of a Young Man (1950),Norman Nisbet,https://collections.ed.ac.uk/art/record/21074?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20668?highlight=*:*
Twist (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21849?highlight=*:*
Tangled Leaves,Susan Alexander,https://collections.ed.ac.uk/art/record/50401?highlight=*:*
Portrait of a Man in a Suit (1958),Ian Hodkinson,https://collections.ed.ac.uk/art/record/20881?highlight=*:*
Sitting Nude Woman (1967),Jean B. M. Lothian,https://collections.ed.ac.uk/art/record/22626?highlight=*:*
Unknown,Duncan Currie,https://collections.ed.ac.uk/art/record/50389?highlight=*:*
Untitled (1986),Andrew Arnott,https://collections.ed.ac.uk/art/record/21626?highlight=*:*
Abstract,L Henniker,https://collections.ed.ac.uk/art/record/21455?highlight=*:*
Untitled (1981-1986),Paul John Croft,https://collections.ed.ac.uk/art/record/21860?highlight=*:*
Portrait of a Woman in a Hat (1958),Pat Calder,https://collections.ed.ac.uk/art/record/20959?highlight=*:*
Full Length Nude Female (1949),Edith A. Blight,https://collections.ed.ac.uk/art/record/22692?highlight=*:*
Portrait of a Woman (1939),Betty M. Ferguson,https://collections.ed.ac.uk/art/record/21130?highlight=*:*
Untitled (2007),Frea Buckler,https://collections.ed.ac.uk/art/record/99967?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,https://collections.ed.ac.uk/art/record/99442?highlight=*:*
Study for Composition (1949),Alistair Smart,https://collections.ed.ac.uk/art/record/50477?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown,https://collections.ed.ac.uk/art/record/20552?highlight=*:*
Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/122078?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53570?highlight=*:*
Modesty vest,Unknown,https://collections.ed.ac.uk/art/record/102682?highlight=*:*
Green Square Abstract,Unknown,https://collections.ed.ac.uk/art/record/22625?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53666?highlight=*:*
Angel with Candelabrum (facing right),Unknown,https://collections.ed.ac.uk/art/record/20542?highlight=*:*
Untitled (1991-1992),Kate McKenzie,https://collections.ed.ac.uk/art/record/21993?highlight=*:*
Untitled (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21909?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20920?highlight=*:*
Charioteer facing right,NA,https://collections.ed.ac.uk/art/record/20660?highlight=*:*
"Bank of the Amstel, Amsterdam (30 Aug 1948)",Marjorie Wallace,https://collections.ed.ac.uk/art/record/50448?highlight=*:*
Untitled - Leaning Semi-Nude Male (1962),Roselyn M Underwood,https://collections.ed.ac.uk/art/record/99443?highlight=*:*
Interior Scene,Sigrid Gordon,https://collections.ed.ac.uk/art/record/21462?highlight=*:*
Untitled - Nude Male and Reflection (1967),Margaret Lothian,https://collections.ed.ac.uk/art/record/99271?highlight=*:*
(1965),Frances Sander,https://collections.ed.ac.uk/art/record/99526?highlight=*:*
Small brown female figure with long wavy hair,NA,https://collections.ed.ac.uk/art/record/20547?highlight=*:*
Untitled,Roy M. W. Cameron,https://collections.ed.ac.uk/art/record/112348?highlight=*:*
Portrait of a Man Seated (1960),Jane Heggie,https://collections.ed.ac.uk/art/record/20980?highlight=*:*
Portrait of a Woman (1954),David Ewans,https://collections.ed.ac.uk/art/record/21215?highlight=*:*
Portrait of Seated Woman (1965),William Gillon,https://collections.ed.ac.uk/art/record/21343?highlight=*:*
Man in Spanish Costume (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21317?highlight=*:*
Portrait of a Boy (1950),Cecile E. M. Johnstone,https://collections.ed.ac.uk/art/record/22667?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53675?highlight=*:*
Untitled (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/99496?highlight=*:*
Two Men Standing,Charlene Anderson,https://collections.ed.ac.uk/art/record/21091?highlight=*:*
Male Nude at Wash Bowl (recto),Unknown,https://collections.ed.ac.uk/art/record/22649?highlight=*:*
Seated Male Nude (1959),Denness Morton,https://collections.ed.ac.uk/art/record/21079?highlight=*:*
Portrait of a Man,Claudia Petretti,https://collections.ed.ac.uk/art/record/21441?highlight=*:*
Unitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99909?highlight=*:*
Putto with a fish,Unknown,https://collections.ed.ac.uk/art/record/20540?highlight=*:*
Untitled - Bearded Man at the Table (20 Oct 1962),John C Mark Jones,https://collections.ed.ac.uk/art/record/99258?highlight=*:*
Unknown (1948),Mabel D. Lawford,https://collections.ed.ac.uk/art/record/50537?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/99387?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50526?highlight=*:*
Interior Scene (1968),Ian Paterson,https://collections.ed.ac.uk/art/record/21341?highlight=*:*
Untitled (1963),L. Allan,https://collections.ed.ac.uk/art/record/22012?highlight=*:*
Standing Male Nude (21 May 1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21251?highlight=*:*
Sedilia from Lincluden Collegiate Church (1912),Joseph Cavagnari,https://collections.ed.ac.uk/art/record/20568?highlight=*:*
Copper Engraving (1949),Alfred Hackney,https://collections.ed.ac.uk/art/record/21826?highlight=*:*
Robin (1953),Diana M. Douglas-Hamilton,https://collections.ed.ac.uk/art/record/22741?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21565?highlight=*:*
Untitled,Sara Gough,https://collections.ed.ac.uk/art/record/112504?highlight=*:*
Portrait of Josephine Baker (1997),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/50366?highlight=*:*
Sean Connery as a Life Model (1952),Alastair Fairweather,https://collections.ed.ac.uk/art/record/22598?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53634?highlight=*:*
Unknown (1949),James N. Hardie,https://collections.ed.ac.uk/art/record/50532?highlight=*:*
Jacopo Nani (2019),Brandon Logan,https://collections.ed.ac.uk/art/record/113742?highlight=*:*
Circus (1950),Cecile E M Johnston,https://collections.ed.ac.uk/art/record/21027?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53574?highlight=*:*
Portrait of a Woman (1939-1940),James H Donaldson,https://collections.ed.ac.uk/art/record/21123?highlight=*:*
Unknown (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/50479?highlight=*:*
Portrait of a Young Woman (1958),Richard McNeill,https://collections.ed.ac.uk/art/record/20890?highlight=*:*
Vision in Time III (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54752?highlight=*:*
Orange Abstract (1987),Alistair Banks,https://collections.ed.ac.uk/art/record/22724?highlight=*:*
Seated Man and Woman,Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/20775?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,https://collections.ed.ac.uk/art/record/21995?highlight=*:*
Untitled - Life Drawing of Reclining Nude Male (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99250?highlight=*:*
Unknown (1953-1954),Lawrence F. Baxter,https://collections.ed.ac.uk/art/record/50616?highlight=*:*
Loading Cargo (1984),Gwyneth M. Leech,https://collections.ed.ac.uk/art/record/21902?highlight=*:*
Standing Male Nude (1957),Braso,https://collections.ed.ac.uk/art/record/21247?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53654?highlight=*:*
Untitled (1963),Madelene R Galloway,https://collections.ed.ac.uk/art/record/99821?highlight=*:*
Sixteen Boxes,John Mooney,https://collections.ed.ac.uk/art/record/21804?highlight=*:*
Abstract with White Paper Strips,Alistair J. Magee,https://collections.ed.ac.uk/art/record/22540?highlight=*:*
Portrait of a Man (1957),Norman E Kirkpatrick,https://collections.ed.ac.uk/art/record/21022?highlight=*:*
Portrait of a Man (1956),J Gorman,https://collections.ed.ac.uk/art/record/21181?highlight=*:*
Landscape (Circa 1950),Marion M Cooper,https://collections.ed.ac.uk/art/record/21389?highlight=*:*
The Smile You Put On Everyday (2016),Ruoyan Wang,https://collections.ed.ac.uk/art/record/99241?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,https://collections.ed.ac.uk/art/record/22522?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,https://collections.ed.ac.uk/art/record/21436?highlight=*:*
Drawing of Dominico Mancini (1946),Dorothy M. Peach,https://collections.ed.ac.uk/art/record/21740?highlight=*:*
Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/122075?highlight=*:*
Seated Female Nude (1954),Leslie Drummond,https://collections.ed.ac.uk/art/record/21259?highlight=*:*
9 European Cafes: no 5: La Couple (Circa 1977),Timothy Morrison,https://collections.ed.ac.uk/art/record/22618?highlight=*:*
Untitled (1972),Lin Hunter,https://collections.ed.ac.uk/art/record/21834?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20727?highlight=*:*
March Morning (Circa 1956),Peter G. Collins,https://collections.ed.ac.uk/art/record/22648?highlight=*:*
Self portrait (2006),Bridget Steed,https://collections.ed.ac.uk/art/record/99857?highlight=*:*
Portrait of a Woman (1964),Carole V Danielson,https://collections.ed.ac.uk/art/record/21346?highlight=*:*
Aerial (2007),Anna Warsop,https://collections.ed.ac.uk/art/record/99904?highlight=*:*
Seated Male Nude (Circa 1953),Mollie Parker,https://collections.ed.ac.uk/art/record/20948?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21617?highlight=*:*
Portrait of a Woman (1962),Hope,https://collections.ed.ac.uk/art/record/21281?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black,https://collections.ed.ac.uk/art/record/99467?highlight=*:*
Portrait of a Woman (1960),Mary Shanks,https://collections.ed.ac.uk/art/record/20947?highlight=*:*
Unknown,Malcolm Clark,https://collections.ed.ac.uk/art/record/50413?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,https://collections.ed.ac.uk/art/record/99486?highlight=*:*
Harbour (1953-1954),Alistair M Park,https://collections.ed.ac.uk/art/record/21348?highlight=*:*
San Gimignano from the Fields (1989),Jane V Hyslop,https://collections.ed.ac.uk/art/record/21693?highlight=*:*
Architectural Scene,Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21451?highlight=*:*
Self Portrait,Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/22699?highlight=*:*
Untitled,Kirkland Main,https://collections.ed.ac.uk/art/record/99988?highlight=*:*
Standing Male Nude,A Wrever,https://collections.ed.ac.uk/art/record/20859?highlight=*:*
"Metope 5, south entablature, Parthenon (1837)",NA,https://collections.ed.ac.uk/art/record/20650?highlight=*:*
Portrait of a Young Man (1948),Sheena Page,https://collections.ed.ac.uk/art/record/21070?highlight=*:*
Standing Female Nude (1953),Eileen Duncan,https://collections.ed.ac.uk/art/record/20929?highlight=*:*
Portrait of Seated Man in Uniform (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20848?highlight=*:*
Abstract (Unknown),Mark Harris,https://collections.ed.ac.uk/art/record/21660?highlight=*:*
Architectural Drawing,Adri C Chrichton,https://collections.ed.ac.uk/art/record/21514?highlight=*:*
Portrait of a Man (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21316?highlight=*:*
"Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)",Unknown,https://collections.ed.ac.uk/art/record/20555?highlight=*:*
Unknown,Fiona Hewitt,https://collections.ed.ac.uk/art/record/53599?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50382?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21786?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21982?highlight=*:*
Untitled - Abstract Print of Foliage in Black and White (1982),Rena R. Simpson II,https://collections.ed.ac.uk/art/record/99332?highlight=*:*
Brick coloured woven fragment,Unknown,https://collections.ed.ac.uk/art/record/102701?highlight=*:*
Seated Female Nude (03 Oct 1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/20899?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21807?highlight=*:*
Evening Jaipur No.2,Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21750?highlight=*:*
Hand Thrown Pot,Emma Gillies,https://collections.ed.ac.uk/art/record/53734?highlight=*:*
Reclining Female Nude (1955),Fiona C MacCormick,https://collections.ed.ac.uk/art/record/21014?highlight=*:*
Self Portrait (Nov 1981),Richard Wright,https://collections.ed.ac.uk/art/record/20771?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/102671?highlight=*:*
Unknown (1952),Rosemary Bagshaw,https://collections.ed.ac.uk/art/record/53518?highlight=*:*
untitled (Unknown),Valerie Anderson,https://collections.ed.ac.uk/art/record/21890?highlight=*:*
Prophet (1953),Ben Zion,https://collections.ed.ac.uk/art/record/21684?highlight=*:*
Untitled,R. Euman,https://collections.ed.ac.uk/art/record/112502?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50407?highlight=*:*
View of a Fair (1949),David McClure,https://collections.ed.ac.uk/art/record/21333?highlight=*:*
"Temple Cottage, Temple, View of Garden",Sir William George Gillies,https://collections.ed.ac.uk/art/record/99221?highlight=*:*
Standing Male Nude with Staff (Circa 1952),David Michie,https://collections.ed.ac.uk/art/record/21035?highlight=*:*
Unknown (1975),Ruth Stiven,https://collections.ed.ac.uk/art/record/50398?highlight=*:*
Aux cinq billiards (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99340?highlight=*:*
Unknown (1955),Edith Duke,https://collections.ed.ac.uk/art/record/53526?highlight=*:*
Untitled (1974),Fiona Carlisle,https://collections.ed.ac.uk/art/record/21594?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53650?highlight=*:*
Unknown (Unknown),Margaret Clyde,https://collections.ed.ac.uk/art/record/21879?highlight=*:*
Unknown (1950),Jacquetta Burn-Callander,https://collections.ed.ac.uk/art/record/50574?highlight=*:*
Untitled - Abstract Ocean of Dark Reds and Greens and Blacks (1993),Norman Shaw,https://collections.ed.ac.uk/art/record/99463?highlight=*:*
Portrait of a Man in Spectacles (1958),Richard McNeill,https://collections.ed.ac.uk/art/record/20891?highlight=*:*
Smugglerius (1854),William Pink,https://collections.ed.ac.uk/art/record/20600?highlight=*:*
Portrait of Andrew Gorrie (1964),Joyce M Cumming,https://collections.ed.ac.uk/art/record/21347?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53721?highlight=*:*
Untitled,Bill Breckervidge,https://collections.ed.ac.uk/art/record/21458?highlight=*:*
St Pauls at Night (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50546?highlight=*:*
Still Life with Shadow of Kettle (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22734?highlight=*:*
Replica cast (brown) of Partheon slab PF045 US09,Unknown,https://collections.ed.ac.uk/art/record/20658?highlight=*:*
Untitled (1966),Helen G. S Forde,https://collections.ed.ac.uk/art/record/99817?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm,https://collections.ed.ac.uk/art/record/21266?highlight=*:*
Portrait of a Woman (1957),Unknown,https://collections.ed.ac.uk/art/record/21257?highlight=*:*
Abstract (1971),John F. Mooney,https://collections.ed.ac.uk/art/record/22679?highlight=*:*
Sketch for Final Composition,Colin Brown,https://collections.ed.ac.uk/art/record/53566?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,https://collections.ed.ac.uk/art/record/100011?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53651?highlight=*:*
Elders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20680?highlight=*:*
Untitled - Woman in Hat with Ribbon (1980),Carolyn S Byres,https://collections.ed.ac.uk/art/record/99426?highlight=*:*
Abstract Still Life (Circa 1975),Lindsay Moran,https://collections.ed.ac.uk/art/record/20761?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21053?highlight=*:*
Standing Male Nude (1953),Allan Sutherland,https://collections.ed.ac.uk/art/record/20979?highlight=*:*
Untitled,Bennett,https://collections.ed.ac.uk/art/record/111042?highlight=*:*
Plakati Hrvatskog Narodnog Kazališta Split (1984),Boris Bućan,https://collections.ed.ac.uk/art/record/22036?highlight=*:*
Portrait of Woman with Hand on her Head (1950),Ailsa Robertson,https://collections.ed.ac.uk/art/record/20803?highlight=*:*
Untitled (1962),Robert S. Crozier,https://collections.ed.ac.uk/art/record/112311?highlight=*:*
Untitled (Unknown),Wendy Gunn,https://collections.ed.ac.uk/art/record/21719?highlight=*:*
Men’s smock (19th Century),Unknown,https://collections.ed.ac.uk/art/record/100012?highlight=*:*
A Head (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21561?highlight=*:*
Standing Female Nude (1959),C Byron,https://collections.ed.ac.uk/art/record/20916?highlight=*:*
Unknown,Edith Duke,https://collections.ed.ac.uk/art/record/53525?highlight=*:*
Untitled (1980),Unknown,https://collections.ed.ac.uk/art/record/99823?highlight=*:*
1. Meccarama (Unknown),Anthony Benjamin,https://collections.ed.ac.uk/art/record/21667?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,https://collections.ed.ac.uk/art/record/21351?highlight=*:*
Untitled (Unknown),Anna Chapman,https://collections.ed.ac.uk/art/record/21603?highlight=*:*
Untitled (2002),Zillah Green,https://collections.ed.ac.uk/art/record/99951?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,https://collections.ed.ac.uk/art/record/99483?highlight=*:*
Crazily Paved (Unknown),John Brown,https://collections.ed.ac.uk/art/record/21661?highlight=*:*
Untitled (Unknown),J.,https://collections.ed.ac.uk/art/record/21953?highlight=*:*
Untitled - Nude Female Standing (1964),Eleanor Maiden,https://collections.ed.ac.uk/art/record/99360?highlight=*:*
Walking the Wall (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21906?highlight=*:*
Drawing of a Woman (1958),E McCallum,https://collections.ed.ac.uk/art/record/20960?highlight=*:*
"Still Life, Oil Paints and Pots (1949)",Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/22732?highlight=*:*
Swirlings (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21972?highlight=*:*
Male Model with Towel (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/22661?highlight=*:*
Giraffe,Emma Gillies,https://collections.ed.ac.uk/art/record/53749?highlight=*:*
Untitled (Dec 1972),Alison Duncan,https://collections.ed.ac.uk/art/record/21581?highlight=*:*
untitled,Joyce M Cumming,https://collections.ed.ac.uk/art/record/112357?highlight=*:*
Untitled (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21767?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53673?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions,Unknown,https://collections.ed.ac.uk/art/record/20617?highlight=*:*
John Stone (1950),David McClure,https://collections.ed.ac.uk/art/record/22666?highlight=*:*
Seated Male Nude (1959),George Mackintosh,https://collections.ed.ac.uk/art/record/20884?highlight=*:*
Untitled (1988),Jodie Pear,https://collections.ed.ac.uk/art/record/21935?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/99860?highlight=*:*
Untitled (1964),James Goodall,https://collections.ed.ac.uk/art/record/99847?highlight=*:*
Unknown (31 May 1960),Rhona L. Barclay,https://collections.ed.ac.uk/art/record/50618?highlight=*:*
Untitled (1967),William G.H. Fulton,https://collections.ed.ac.uk/art/record/99820?highlight=*:*
Untitled (1989),Claire E. Banks,https://collections.ed.ac.uk/art/record/22555?highlight=*:*
Norwegian Ponies (1953),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/99218?highlight=*:*
Untitled (1987),Susan Veitch,https://collections.ed.ac.uk/art/record/21898?highlight=*:*
Preparatory Sketch (1962),John Picking,https://collections.ed.ac.uk/art/record/50528?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53538?highlight=*:*
An Táin (1964),John B Vallely,https://collections.ed.ac.uk/art/record/21005?highlight=*:*
Untitled (1961),Dr Ainslie Yule,https://collections.ed.ac.uk/art/record/99531?highlight=*:*
Reclining Female Nude (1949-1950),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21019?highlight=*:*
"Rock R Coast, Hethleen Russell, Bournemouth (1966)",Kathleen Russell,https://collections.ed.ac.uk/art/record/99523?highlight=*:*
Relic of Origins: Wild Boar (2013),Kyle Noble,https://collections.ed.ac.uk/art/record/21304?highlight=*:*
Untitled (1960),Kathleen Russell,https://collections.ed.ac.uk/art/record/99519?highlight=*:*
Untitled (1997),Sera K,https://collections.ed.ac.uk/art/record/21779?highlight=*:*
Printed Fabric,Robin Jones,https://collections.ed.ac.uk/art/record/22538?highlight=*:*
Still Life - Fish (1961),Thora Clyne,https://collections.ed.ac.uk/art/record/22640?highlight=*:*
Castor and Pollux (1835),Sarti,https://collections.ed.ac.uk/art/record/20593?highlight=*:*
Untitled (Unknown),Dilys R. Lovell,https://collections.ed.ac.uk/art/record/21574?highlight=*:*
Patchwork quilt (1700-1899),Unknown,https://collections.ed.ac.uk/art/record/102731?highlight=*:*
Portrait of a Seated Man (1954),Edith Fraser,https://collections.ed.ac.uk/art/record/21208?highlight=*:*
Untitled,Susan Pettinger,https://collections.ed.ac.uk/art/record/112500?highlight=*:*
Seated Man seen from behind (Circa 1955),Peter McGinn,https://collections.ed.ac.uk/art/record/21089?highlight=*:*
Unknown (1947),Sheila Turnbull,https://collections.ed.ac.uk/art/record/50454?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell,https://collections.ed.ac.uk/art/record/21426?highlight=*:*
Cornfield (1963),Joan Eardley,https://collections.ed.ac.uk/art/record/21957?highlight=*:*
Garden of Eden (1987),Unknown,https://collections.ed.ac.uk/art/record/21608?highlight=*:*
Horse and Cart (1956),Moira E. Brown,https://collections.ed.ac.uk/art/record/22712?highlight=*:*
Standing Female Nude (1957),Peter Coyle,https://collections.ed.ac.uk/art/record/20969?highlight=*:*
Untitled (2007),Matt Carter,https://collections.ed.ac.uk/art/record/99975?highlight=*:*
Untitled (2002),Kirsty MacDonald,https://collections.ed.ac.uk/art/record/99949?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21675?highlight=*:*
Hill Fence (1976),Aitons Bytautus,https://collections.ed.ac.uk/art/record/50385?highlight=*:*
Abstract Composition with Fabric Collage,Caroline E. L. Wilkinson,https://collections.ed.ac.uk/art/record/22511?highlight=*:*
Portrait of a Man (1960),John Johnstone,https://collections.ed.ac.uk/art/record/21357?highlight=*:*
Landscape (Circa 1953),Trevor Stubley,https://collections.ed.ac.uk/art/record/21413?highlight=*:*
Unknown (1949),Mary D Thomson,https://collections.ed.ac.uk/art/record/50453?highlight=*:*
Swedish apron (1958),Unknown,https://collections.ed.ac.uk/art/record/102689?highlight=*:*
Set of NDS slides,Unknown,https://collections.ed.ac.uk/art/record/102675?highlight=*:*
Standing Male Nude (1960),Jean Richie,https://collections.ed.ac.uk/art/record/20790?highlight=*:*
Portrait of a Seated Man (May 1960),John Gilbert,https://collections.ed.ac.uk/art/record/20996?highlight=*:*
Still Life Beside Window (1955),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/20738?highlight=*:*
Florence (Jan 1956),John P Busby,https://collections.ed.ac.uk/art/record/21382?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20710?highlight=*:*
Frieze from the Temple of Athena Nike (left slab) (1827),NA,https://collections.ed.ac.uk/art/record/20625?highlight=*:*
West Coast Seascape (Unknown),Catherine Orbach,https://collections.ed.ac.uk/art/record/21790?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99475?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany,https://collections.ed.ac.uk/art/record/20767?highlight=*:*
Abstract,V. Constant,https://collections.ed.ac.uk/art/record/111443?highlight=*:*
Untitled (Dec 1970),Kathryn M. Buchan,https://collections.ed.ac.uk/art/record/21869?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,https://collections.ed.ac.uk/art/record/102679?highlight=*:*
Untitled,Douglas Cook,https://collections.ed.ac.uk/art/record/22567?highlight=*:*
Seascape (1978),Michael Kinane,https://collections.ed.ac.uk/art/record/21492?highlight=*:*
John Mooney Paintings (1984),John Mooney,https://collections.ed.ac.uk/art/record/21846?highlight=*:*
Female Nude with Pitcher,Samuel John Peploe,https://collections.ed.ac.uk/art/record/20736?highlight=*:*
Untitled (Nov 1988),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21936?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21566?highlight=*:*
Untitled (1946),Vivian Chapman,https://collections.ed.ac.uk/art/record/21735?highlight=*:*
Landscape (1948),V Janikowski,https://collections.ed.ac.uk/art/record/21422?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20886?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21586?highlight=*:*
Seascape (1955),Myra E. Soni,https://collections.ed.ac.uk/art/record/22736?highlight=*:*
Milk Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53677?highlight=*:*
Tottenham Court Road Underground (1987),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21702?highlight=*:*
Untitled (1961),Norma Kirk,https://collections.ed.ac.uk/art/record/22011?highlight=*:*
