title,artist,link
Unknown (Circa 1890),Unknown,https://collections.ed.ac.uk/art/record/50463?highlight=*:*
"Unknown, Abstract",Paresh Chandra Chakraborty,https://collections.ed.ac.uk/art/record/99485?highlight=*:*
For They Shall See God (2006),Jennifer M. Hughes,https://collections.ed.ac.uk/art/record/99881?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53670?highlight=*:*
Untitled (1947),Sheila Turnbull,https://collections.ed.ac.uk/art/record/111032?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/record/22569?highlight=*:*
Anat (1966),Norman Orr,https://collections.ed.ac.uk/art/record/99405?highlight=*:*
Works of a Strange Device: Drawing Smoke (2016),Suzanne Priestley,https://collections.ed.ac.uk/art/record/99239?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53614?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,https://collections.ed.ac.uk/art/record/21061?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,https://collections.ed.ac.uk/art/record/21139?highlight=*:*
Untitled (Unknown),J Nicoll,https://collections.ed.ac.uk/art/record/21728?highlight=*:*
Female Nude Seated on a Chair (1953),Margaret Ronald,https://collections.ed.ac.uk/art/record/20950?highlight=*:*
Untitled (Unknown),Renny Tait,https://collections.ed.ac.uk/art/record/21723?highlight=*:*
Portrait of a Man (1959),Alan Kemp,https://collections.ed.ac.uk/art/record/20902?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21857?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53504?highlight=*:*
Replica of parthenon slab PF049,NA,https://collections.ed.ac.uk/art/record/20653?highlight=*:*
Untitled (1963),Monika L. Uecher,https://collections.ed.ac.uk/art/record/21774?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20701?highlight=*:*
Reclining Female Nude (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20922?highlight=*:*
Seated Male Nude (1965-1966),H Chart,https://collections.ed.ac.uk/art/record/21268?highlight=*:*
Untitled (1961),Norma Kirk,https://collections.ed.ac.uk/art/record/22010?highlight=*:*
(n) (fr) Les Voyeurs (1984),David C Duke,https://collections.ed.ac.uk/art/record/99247?highlight=*:*
Seated Female Nude,Colin Lawson,https://collections.ed.ac.uk/art/record/20774?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53536?highlight=*:*
Standing Male Nude (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20911?highlight=*:*
Untitled - Holyrood Palace (1978-1979),Thomas F. C. Denny,https://collections.ed.ac.uk/art/record/99413?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,https://collections.ed.ac.uk/art/record/21114?highlight=*:*
Small relief with figure in clerical dress,NA,https://collections.ed.ac.uk/art/record/20611?highlight=*:*
Unknown (1949),Mary D Thomson,https://collections.ed.ac.uk/art/record/50452?highlight=*:*
Minotaur,Paul Duffus,https://collections.ed.ac.uk/art/record/102661?highlight=*:*
Untitled - Snowy Landscape (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99368?highlight=*:*
Cushendun (08 Apr 1968),Unknown,https://collections.ed.ac.uk/art/record/21496?highlight=*:*
100 Billion Suns (2012),Katie Paterson,https://collections.ed.ac.uk/art/record/21002?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,https://collections.ed.ac.uk/art/record/20944?highlight=*:*
Central Park in the Dark Some 40 Years Ago (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21000?highlight=*:*
Preparatory sketch for main composition (1960),Marjory Dickson,https://collections.ed.ac.uk/art/record/53529?highlight=*:*
Unknown,Nugent,https://collections.ed.ac.uk/art/record/50429?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50472?highlight=*:*
Madonna of the Roses (2007),Rachael Cawley,https://collections.ed.ac.uk/art/record/99968?highlight=*:*
Standing Male Nudes (1950),Sheila Robertson,https://collections.ed.ac.uk/art/record/20808?highlight=*:*
The Misadventure (1989),John Brown,https://collections.ed.ac.uk/art/record/99468?highlight=*:*
Seated Male Nude (1965),J Lord,https://collections.ed.ac.uk/art/record/21291?highlight=*:*
Unknown (1960),Robin E. Bownass,https://collections.ed.ac.uk/art/record/50606?highlight=*:*
Striding Male Nude (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21054?highlight=*:*
Treasure on a Loch,John Brown,https://collections.ed.ac.uk/art/record/22603?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Helen Wishart,https://collections.ed.ac.uk/art/record/99452?highlight=*:*
Woman Seated (1954),John P Busby,https://collections.ed.ac.uk/art/record/21380?highlight=*:*
Full length portrait of man from behind with three-point hat and sabre (22 Mar 1951),Diana M. Douglas-Hamilton,https://collections.ed.ac.uk/art/record/53527?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53624?highlight=*:*
Seated Male Nude reading newspaper (1960),Jean Richie,https://collections.ed.ac.uk/art/record/20791?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53631?highlight=*:*
Untitled - Life Drawing of Skeletons (1963),William O. Little,https://collections.ed.ac.uk/art/record/99268?highlight=*:*
"Seated Fate, east pediment of the Parthenon",NA,https://collections.ed.ac.uk/art/record/20637?highlight=*:*
Untitled,David C Duke,https://collections.ed.ac.uk/art/record/22574?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,https://collections.ed.ac.uk/art/record/21508?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,https://collections.ed.ac.uk/art/record/99470?highlight=*:*
Portrait of a Man (1957),Unknown,https://collections.ed.ac.uk/art/record/21250?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53722?highlight=*:*
Bust of St. Joseph (1912),C Pouzadoux,https://collections.ed.ac.uk/art/record/20550?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99912?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/22000?highlight=*:*
Chinese spectacle case,Unknown,https://collections.ed.ac.uk/art/record/102704?highlight=*:*
